response_id,birth_year,gender,industry,industry_detail,occupation,occupation_detail,company_size,is_manager,household_type,job_tenure,region_type
433,1983,Female,Information Media and Telecommunications,Broadcasting (except Internet),Professionals,Arts and Media Professionals,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro
704,1976,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1185,1964,Male,Retail Trade,Other Store-Based Retailing,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro
826,1973,Male,"Transport, Postal and Warehousing",Road Transport,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,NA,Couple with dependent children,Between 1 and 5 years,Metro
1399,1959,Female,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,NA,Couple with dependent children,Between 1 and 5 years,Metro
177,1990,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Farmers and Farm Managers,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro
838,1972,Female,Administrative and Support Services,Administrative Services,Managers,"Hospitality, Retail and Service Managers",Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro
332,1986,Male,Administrative and Support Services,Administrative Services,Professionals,ICT Professionals,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro
679,1977,Male,Construction,Building Construction,Machinery operators and drivers,Machine and Stationary Plant Operators,Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro
860,1972,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro
659,1977,Female,Administrative and Support Services,Administrative Services,Professionals,Arts and Media Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
855,1972,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
79,1993,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1364,1959,Male,"Transport, Postal and Warehousing",Other Transport,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
810,1973,Male,Education and Training,Preschool and School Education,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
456,1983,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
726,1975,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
1393,1959,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
617,1978,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
850,1972,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
171,1990,Female,Information Media and Telecommunications,Telecommunications Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
716,1976,Female,"Electricity, Gas, Water and Waste Services","Water Supply, Sewerage and Drainage Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
664,1977,Female,Education and Training,"Adult, Community and Other Education",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
103,1992,Male,Manufacturing,Basic Chemical and Chemical Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
632,1978,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1022,1968,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
832,1972,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
707,1976,Male,Manufacturing,Primary Metal and Metal Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1122,1965,Male,"Transport, Postal and Warehousing",Rail Transport,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
565,1980,Female,Education and Training,Tertiary Education,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,NA,Couple with dependent children,Between 1 and 5 years,Metro
689,1976,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
627,1978,Female,Education and Training,Preschool and School Education,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
912,1970,Female,Health Care and Social Assistance,Social Assistance Services,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
666,1977,Female,"Transport, Postal and Warehousing",Water Transport,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
158,1990,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
465,1982,Male,Financial and Insurance Services,Finance,Professionals,Education Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
457,1983,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Technicians and trades ,"Engineering, ICT and Science Technicians",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
459,1983,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Technicians and trades ,"Engineering, ICT and Science Technicians",Between 20 and 199,NA,Couple with dependent children,Between 1 and 5 years,Metro
558,1980,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Clerical and administrative ,General Clerical ,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
142,1990,Female,Accommodation and Food Services,Food and Beverage Services,Managers,"Hospitality, Retail and Service Managers",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
