response_id,remote_work_time_last_year,org_encouraged_remote_last_year,org_prepared_remote_last_year,remote_common_last_year,remote_permission_last_year,remote_collaboration_last_year,recommend_remote_last_year,preferred_remote_time_last_year,remote_work_time_last_3_months,org_encouraged_remote_3_months,org_prepared_remote_3_months,remote_common_3_months,remote_permission_3_months
1,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Strongly agree
2,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
3,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly disagree,Neither agree nor disagree
4,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Strongly agree
5,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
6,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
7,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Somewhat agree
8,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Somewhat agree
9,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Somewhat disagree,Neither agree nor disagree
10,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Somewhat agree
11,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
12,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
13,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
14,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Somewhat agree
15,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
16,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
17,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
18,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
19,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
20,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
21,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
22,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Somewhat disagree,Strongly disagree
23,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
24,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
25,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
26,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Somewhat agree
27,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
28,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
29,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Somewhat agree
30,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Neither agree nor disagree,Neither agree nor disagree
31,10%,NA,NA,NA,NA,NA,NA,10%,10%,NA,NA,Strongly agree,Strongly agree
32,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
33,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
34,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,NA,NA
35,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
36,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
37,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
38,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
39,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
40,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
41,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
42,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
43,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
44,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
45,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
46,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
47,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
48,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
49,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
50,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
51,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
52,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
53,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
54,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
55,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
56,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
57,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
58,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
59,10%,NA,NA,NA,NA,NA,NA,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
60,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
61,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
62,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
