response_id,preferred_remote_time_after_covid,employer_encourage_remote_future,employer_support_remote_future,remote_work_choice_future,remote_productivity,commute_hours_office,work_hours_office,personal_family_hours_office,caring_hours_office,commute_hours_remote,work_hours_remote,personal_family_hours_remote,caring_hours_remote
1,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,0,0,-1,0,0,0,0
2,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,0,0,0,0,0,0,0
3,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,0,0,0,0,0,0,0
4,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,0,0,0,0,0.5,0,0
5,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,0,0,0,0,0.5,0,0
6,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,0.5,0,0,0,0.5,0,0
7,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,0.5,0,0,0,1,0,0
8,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
9,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
10,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
11,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
12,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
13,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
14,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
15,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
