response_id,most_significant_barrier_1,least_significant_barrier_1,most_significant_barrier_2,least_significant_barrier_2,most_significant_barrier_3,least_significant_barrier_3,most_significant_barrier_4,least_significant_barrier_4,most_significant_barrier_5,least_significant_barrier_5,most_significant_barrier_6,least_significant_barrier_6,most_significant_barrier_7,least_significant_barrier_7,most_significant_barrier_8,least_significant_barrier_8,most_significant_barrier_9,least_significant_barrier_9,most_significant_barrier_10,least_significant_barrier_10
1,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
2,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
3,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
4,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
5,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
6,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
7,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
8,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
9,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
10,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
