response_id,best_experience_group_1,worst_experience_group_1,best_experience_group_2,worst_experience_group_2,best_experience_group_3,worst_experience_group_3,best_experience_group_4,worst_experience_group_4,best_experience_group_5,worst_experience_group_5,best_experience_group_6,worst_experience_group_6
1,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
2,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
3,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
4,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
5,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
6,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
7,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
8,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
9,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
10,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
11,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
12,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
13,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
14,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
15,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
16,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
17,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
18,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
19,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
20,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
21,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
22,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
23,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
24,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
25,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
26,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
27,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
28,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
29,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
30,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
31,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
32,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
33,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
34,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
35,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
36,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
37,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
38,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
39,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
40,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
41,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
42,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
43,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
44,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
45,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
46,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
47,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
48,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
49,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
50,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
51,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
52,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
53,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
54,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
